Sample	posterior	likelihood	prior	treeLikelihood_1	treeLikelihood_2	treeLikelihood_3	treeLikelihood_4	treeLikelihood_5	treeLikelihood_6	treeLikelihood_7	treeLikelihood_8	treeLikelihood_9	treeLikelihood_10	insertRates.1	insertRates.2	insertRates.3	insertRates.4	insertRates.5	insertRates.6	insertRates.7	insertRates.8	insertRates.9	insertRates.10	insertRates.11	insertRates.12	insertRates.13	clockRate
0	-3082.979931268237	-3106.5436175212926	23.563686253055305	-337.58032475198706	-352.8763594525175	-346.9498421271727	-50.49811657944536	-348.8741387917949	-416.39565680698576	-359.7864231999486	-193.69277393832252	-366.91045722091496	-332.9795246522028	0.1	0.1	0.1	0.0793190951899046	0.1	0.12068090481009541	0.1	0.1	0.1	0.025	0.025	0.025	0.025	0.1
1000	-2763.0229738199364	-2785.031266473139	22.008292653202616	-317.9303850514797	-315.85144698736974	-315.21357734605255	-43.62630614992907	-309.0308177735572	-360.6223835473296	-325.8808957019013	-166.89059726694478	-328.22266733359766	-301.7621893149771	0.01948407751295554	0.16255839525763757	0.11965466347870683	0.09633436750136863	0.16855033177251486	0.14167098825073898	0.07994396906361552	0.055285341129512514	0.02887397850857924	0.03190710116148707	0.03803664715539727	0.041177575023460714	0.01652256418402532	0.20298636257245814
2000	-2762.908773632343	-2784.7853641041365	21.87659047179322	-318.04172228689043	-313.4071433694888	-313.5338473783265	-43.316412586619684	-307.60782047722824	-360.5379306627097	-325.87799253812346	-168.05722364214753	-330.42604698828643	-303.9792241743159	0.018701683832165257	0.16962782171545074	0.14145238028695986	0.09934692090538179	0.17246468445036728	0.11906021777668868	0.08689736006687594	0.05216665647137046	0.027880979121288625	0.03514967722642309	0.03444067361326585	0.02708678344147094	0.0157241610922916	0.1964098010595344
3000	-2766.6900939479483	-2788.698744524253	22.008650576304564	-321.73033496076533	-314.8923357334908	-313.9580527331573	-42.97044876239381	-307.8614819094498	-360.31041253502354	-327.07050416938114	-166.8080266071765	-328.2383882901432	-304.85875882327184	0.018806248964953233	0.17872926604665584	0.13458508416216197	0.1101892798170954	0.13376941158705535	0.11522129137718554	0.07699173731526382	0.05458007786463258	0.029804758008383378	0.044147878918834524	0.056423820096731456	0.035501323369472156	0.011249822471574786	0.20455203844067807
4000	-2768.181189348383	-2790.33058064356	22.149391295176876	-316.5996295697753	-317.24902741713646	-314.29278798868137	-43.5594442840117	-308.62171827525674	-361.73494352097737	-328.1238976453196	-168.65788209602684	-327.05870329377694	-304.43254655259784	0.023708242871072635	0.1550224580168255	0.13602247432750608	0.10226355009965246	0.15327274965604745	0.12691091367308766	0.0998025207741848	0.031248016589584118	0.028549684536182847	0.031134356981128593	0.03826949568696268	0.059395264714492656	0.01440027207327262	0.19116911500313752
5000	-2766.815924499439	-2788.591771107269	21.775846607830047	-321.81658664866774	-314.5412720255863	-316.7369290973465	-42.514071040698504	-307.4765489631312	-358.65893870380154	-325.8834819318034	-167.71057950207546	-327.5591885122282	-305.69417468193024	0.02511535084159194	0.18172727976616562	0.14661207210425137	0.07640306883495965	0.15235529407816378	0.13245042275860658	0.08116090605722327	0.0502789386785981	0.02353386488191099	0.03744174482588973	0.04855762935499473	0.02838476110115468	0.01597866671648971	0.21624027899280707
6000	-2762.331988838116	-2784.3187640657784	21.98677522766245	-320.23634949329187	-315.5238574794568	-313.1735953183936	-43.11615020910169	-308.05957108213613	-359.5254216337637	-326.6202318042412	-166.30812442298537	-327.8487124652627	-303.9067501571457	0.020745169404487868	0.17016059220382612	0.13501711433361643	0.11477902418094443	0.16184302331597258	0.11286536725606938	0.07318909719577756	0.04390334860491168	0.03196492307760897	0.03510399952339221	0.0450936711732717	0.04058866937624319	0.01474600035387797	0.20683663521593287
7000	-2764.947052196068	-2786.823216679718	21.876164483649813	-319.53530473056855	-313.8428297722945	-313.6221959640327	-43.52289279514654	-306.5242223920354	-358.2162774774696	-326.930716446121	-167.55984517458114	-331.2372318614832	-305.8317000659844	0.02747802298607379	0.17023740888197023	0.1428708489929918	0.12192247047616464	0.15852883016530558	0.1143888820133617	0.0864101468890671	0.04209895672066363	0.022883150200784377	0.029267792745240946	0.0408532921129255	0.02484079261175668	0.018219405203694108	0.20073794534829031
8000	-2764.489276962016	-2786.217774287401	21.72849732538493	-318.17792660617283	-312.50435126655094	-313.5042280738919	-42.74163729236764	-309.5182743905809	-359.6136286619693	-326.064702345647	-169.52908034520956	-328.63257219123057	-305.93137311378007	0.019493441635092392	0.167790564817362	0.17343746400087146	0.09930016043677874	0.14503227433677132	0.10621428696760721	0.09768874713207366	0.046277007070319454	0.028513434451079008	0.027353716046049352	0.041516858394634204	0.03440454140882093	0.012977503302540444	0.20596948433252105
9000	-2765.5133823689675	-2787.221277330611	21.707894961643596	-316.4321250784887	-312.49741083371015	-314.39527474599896	-43.814508954929835	-309.05351714289054	-360.5939250695107	-327.1687978197575	-168.88270484305986	-329.9193448055184	-304.4636680367463	0.01916162568647891	0.16651625676085127	0.14123323315210823	0.10956058965733048	0.15699672733942766	0.11801869206010211	0.10762539751966876	0.05180155259156438	0.025296378733416742	0.028575031008930024	0.02906296891612268	0.034102156695656693	0.01204938987834209	0.19773341559661467
10000	-2768.0523369997513	-2790.2714284641306	22.219091464379392	-317.06236249434653	-314.72432207122216	-315.7467280725924	-42.74859455697562	-309.20351281824946	-361.1417959359695	-327.7190581762989	-168.7141031102962	-328.45053898668806	-304.7604122414921	0.03493200899019468	0.1525999736527189	0.14565143228877345	0.08985847637854288	0.1530108227200452	0.10655763881750385	0.11273641266897748	0.0476741162771956	0.022723631863430054	0.02942289728007466	0.054744983452126264	0.03514908470293935	0.014938520907477769	0.19612878413190826
