seed,num_tip,ess_likelihood,num_states,runtime,runtime_till_ESS_200
1,38,40322,1e+08,1279.866667,6.348230081
2,556,222,270002000,21601.1,6486.816817
3,276,1235,1e+08,5786.35,937.0607287
4,28,50291,1e+08,325.5333333,1.294598769
5,98,9363,1e+08,3625.05,77.4335149
6,70,7599,1e+08,755.6166667,19.88726587
7,123,6624,1e+08,2253.783333,68.04901369
8,77,7333,1e+08,1831.5,49.95227056
9,69,16301,1e+08,1626.883333,19.96053412
10,141,853,1e+08,2791.15,654.4314185
11,116,3757,1e+08,1170.783333,62.32543696
12,384,624,34824000,7200.366667,2307.809829
13,38,11482,1e+08,285.6,4.974743076
14,15,82205,1e+08,349.4333333,0.850151045
15,167,5752,1e+08,2926.166667,101.7443208
16,73,12981,1e+08,2043.433333,31.48345017
17,180,3880,1e+08,4418.25,227.7448454
18,266,525,1e+08,3443.55,1311.828571
19,117,5428,1e+08,2294.9,84.55784819
20,143,1335,1e+08,1976.75,296.1423221
21,102,7770,1e+08,3874.866667,99.73916774
22,475,1744,70261000,21601.1,825.7301223
23,28,57198,1e+08,346.15,1.210357005
24,4,85353,1e+08,38.33333333,0.089823049
25,148,4761,1e+08,2578.1,108.3007771
26,314,432,1e+08,5210.616667,2412.322531
27,159,2270,1e+08,2488.566667,219.256975
28,44,19153,1e+08,547.5833333,5.717990219
29,127,2082,1e+08,1625.566667,156.1543388
30,20,71920,1e+08,473.7833333,1.317528736
31,39,19577,1e+08,407.55,4.163559279
32,74,5782,1e+08,1951.533333,67.50374726
33,3,59450,1e+08,22.66666667,0.076254556
34,95,8334,1e+08,1549.366667,37.18182545
35,132,2476,1e+08,2347.333333,189.6068928
36,135,5187,1e+08,5579.9,215.149412
37,3,73664,1e+08,28.51666667,0.077423617
38,58,9320,1e+08,519.9,11.15665236
39,192,3328,1e+08,5134.216667,308.5466747
40,20,71315,1e+08,229.2,0.642782023
41,36,17621,1e+08,692.4166667,7.858994003
42,12,82248,1e+08,224.0166667,0.544734624
43,100,11922,1e+08,3592.633333,60.26897053
44,60,9437,1e+08,1200.916667,25.45123803
45,167,5617,1e+08,6485.933333,230.9394101
46,19,79359,1e+08,7200.05,18.14551595
47,32,17918,1e+08,7200.05,80.36667039
48,301,1073,90511000,7200.05,1342.041007
49,8,86098,1e+08,63.31666667,0.147080459
50,13,83168,1e+08,325.4833333,0.782712902
51,197,3824,93589000,7200.3,376.584728
52,50,29107,1e+08,1342.933333,9.227562671
53,7,88803,1e+08,74.48333333,0.167749588
54,206,4172,1e+08,5412.816667,259.4830617
55,65,5740,1e+08,712.85,24.83797909
56,50,20576,1e+08,776.1166667,7.543902281
57,62,26360,1e+08,1901.683333,14.42855336
58,103,3577,1e+08,1293.8,72.33994968
59,227,469,1e+08,1710.7,729.5095949
60,186,3225,1e+08,2694.633333,167.1090439
61,99,6244,1e+08,1630.383333,52.22240017
62,166,4795,1e+08,3584.35,149.5036496
63,19,75558,1e+08,345.7166667,0.915102747
64,37,25299,1e+08,718.4333333,5.679539376
65,106,2500,1e+08,2206.183333,176.4946667
66,48,23711,1e+08,493.0833333,4.159110399
67,460,789,266338000,13624.45,1151.199831
68,195,7033,1e+08,3880.066667,110.3388786
69,109,912,1e+08,862.7666667,189.2032164
70,112,8789,1e+08,2400.6,54.62737513
71,78,4423,1e+08,488.35,22.08229708
72,23,48554,1e+08,557.05,2.294558636
73,16,14109,1e+08,106.9833333,1.516526094
74,60,33533,1e+08,626.9833333,3.739500393
75,361,488,1e+08,4785.433333,1961.243169
76,111,3875,1e+08,1688.433333,87.14494624
77,111,2358,1e+08,1384.466667,117.4271982
78,67,5828,1e+08,631.8666667,21.68382521
79,643,758,123344000,21601.1,1899.832894
80,39,14725,1e+08,313.5,4.258064516
81,31,39444,1e+08,276.1333333,1.400128452
82,56,21877,1e+08,576.05,5.26626137
83,9,89746,1e+08,76.61666667,0.170741129
84,128,1140,1e+08,1480.4,259.7192982
85,119,3339,1e+08,1302.616667,78.02435859
86,59,7112,1e+08,1190.966667,33.49175103
87,263,865,1e+08,2750.35,635.9190751
88,66,3620,1e+08,626.2333333,34.5985267
89,9,88045,1e+08,71.48333333,0.162379086
90,251,276,1e+08,2479.45,1796.702899
91,57,4494,1e+08,197.15,8.773920783
92,5,88416,1e+08,41.06666667,0.092894197
93,21,41151,1e+08,149.35,0.725863284
94,98,1736,1e+08,672.2166667,77.44431644
95,156,6720,1e+08,2296.766667,68.35615079
96,147,2863,1e+08,1360.75,95.05763185
97,28,51639,1e+08,364.9666667,1.413531117
98,465,419,70797000,7200.366667,3436.929196
99,3,90001,1e+08,32.5,0.07222142
100,487,479,96945000,21601.1,3006.416145
